Rank,Word,Frequency,POS
"5","บทคัดย่อ","abstract, n.",""
"5","สั่งสม","accumulate, (intangible)",""
"5","แม่นยำ","accurate, (on target)",""
"2","ถูกต้อง","accurate, (correct)",""
"4","บรรลุ","achieve",""
"2","ยอมรับ","acknowledge, (accept)",""
"2","รัฐบาล","administration, (government)",""
"3","การบริหาร","administration, (business)",""
"3","ผู้ใหญ่","adult, n.",""
"7","สุนทรียภาพ","aesthetics",""
"4","จัดสรร","allocate",""
"3","ทางเลือก","alternative, n.",""
"2","วิเคราะห์","analyze",""
"8","กำกวม","ambiguous",""
"3","ประจำปี","annual",""
"9","ประมาณการณ์","anticipate",""
"6","ทาบทาม","approach, v.",""
"3","แนวทาง","approach, n.",""
"2","เหมาะสม","appropriate, adj.",""
"2","ประกอบ","assemble, (put together)",""
"3","ประเมิน","assess",""
"4","มอบหมาย","assign",""
"3","ความช่วยเหลือ","assistance, (service)",""
"4","การช่วยเหลือ","assisting",""
"6","นักประพันธ์","author, (career)",""
"3","ผู้เขียน","author, (incidental)",""
"2","เจ้าหน้าที่","authorities, (government)",""
"2","อัตโนมัติ","automatic",""
"4","ในนาม","behalf",""
"2","ประโยชน์","benefit, n.",""
"4","สวัสดิการ","benefits, n.",""
"5","พันธบัตร","bond, (finance)",""
"1","สามารถ","capable",""
"2","ประเภท","category",""
"2","บท","chapter, (book)",""
"4","สารเคมี","chemical, n.",""
"3","วงจร","circuit, (electrical)",""
"3","สถานการณ์","circumstance",""
"2","อ้างอิง","cite",""
"5","พลเรือน","civilian",""
"7","ประจวบเหมาะ","coincide",""
"7","ค่านายหน้า","commission, n. (fee)",""
"2","ชุมชน","community",""
"4","ชดเชย","compensate",""
"5","ค่าตอบแทน","compensation",""
"4","ซับซ้อน","complex, adj.",""
"6","สลับซับซ้อน","elaborate",""
"5","ประณีต","intricate",""
"6","สารประกอบ","compound, (chemical)",""
"3","ประกอบด้วย","comprised of",""
"3","พฤติกรรม","conduct, n.",""
"3","ประกอบด้วย","consist of",""
"3","แนวคิด","concept",""
"5","ข้อสรุป","conclusion",""
"2","ยืนยัน","confirm",""
"4","ความขัดแย้ง","conflict, n.",""
"6","ปรึกษาหารือ","consult, v.",""
"3","บริโภค","consume, (edibles)",""
"3","ผู้บริโภค","consumer",""
