Rank,Word,Frequency,POS
"3","มด","ant",""
"5","ผึ้ง","bee",""
"5","ผีเสื้อ","butterfly",""
"7","ตะขาบ","centipede",""
"7","แมงปอ","dragonfly",""
"6","แมลงสาบ","cockroach",""
"7","จิ้งหรีด","cricket",""
"5","หมัด","flea",""
"6","แมลงวัน","fly",""
"6","ตั๊กแตน","grasshopper",""
"5","แตน","hornet",""
"4","แมลง","insect",""
"13","แมลงเต่า","ladybug",""
"7","เหา","louse",""
"5","กิ้งกือ","millipede",""
"2","ไร","mite",""
"5","ยุง","mosquito",""
"7","แมงป่อง","scorpion",""
"6","แมงมุม","spider",""
"1","ต่อ","wasp",""
