Rank,Word,Frequency,POS
"1","ผม","hair (of the head)",""
"3","ขน","hair (on the body)",""
"7","หน้าม้า","bangs",""
"6","เครา","beard",""
"11","ผมมวย","bun",""
"8","ไรผม","hairline",""
"5","ทรงผม","hairstyle",""
"5","หนวด","mustache",""
"12","จอนหู","sideburns",""
"11","แสกผม","to part the hair",""
"5","เปีย","braid",""
"10","ผมเปีย","braided hair",""
"9","ถักเปีย","to braid the hair",""
"11","หางเปีย","pony tail",""
"9","ผมสีน้ำตาล","brown hair",""
"8","ผมหงอก","gray hair",""
"10","ผมสีแดง","red hair",""
"10","ผมหยักศก","wavy hair",""
"8","ผมหยิก","kinky hair",""
