Rank,Word,Frequency,POS
"4","แขน","arm",""
"6","รักแร้","armpit",""
"5","ศอก","elbow",""
"2","มือ","hand",""
"5","นิ้วมือ","finger",""
"4","เล็บ","nail",""
"7","นิ้วโป้ง","thumb",""
"7","นิ้วชี้","index finger",""
"7","นิ้วกลาง","middle finger",""
"7","นิ้วก้อย","little finger",""
"6","กำปั้น","fist",""
"9","ข้อนิ้ว","knuckle",""
"6","ฝ่ามือ","palm",""
"5","ข้อมือ","wrist",""
"6","มือขวา","right hand",""
"6","มือซ้าย","left hand",""
"9","ถนัดขวา","right-handed",""
"9","ถนัดซ้าย","left-handed",""
