Rank,Word,Frequency,POS
"3","นิตยสาร","magazine",""
"4","วารสาร","journal",""
"2","บทความ","article",""
"5","เรียงความ","essay",""
"4","นิยาย","story",""
"4","เรื่องสั้น","short story",""
"4","นวนิยาย","novel",""
"4","กวี","poet",""
"4","บทกวี","poem",""
"3","สารานุกรม","encyclopedia",""
"4","พจนานุกรม","dictionary",""
"6","คำจำกัดความ","definition",""
"5","ตัวหนังสือ","alphabet (colloq.)",""
"3","ตัวอักษร","alphabet (formal)",""
"3","ยอดนิยม","bestseller",""
"6","ย่อหน้า","paragraph",""
"3","วรรณกรรม","literary work",""
"5","วรรณคดี","literature",""
"2","ลิขสิทธิ์","copyright",""
"2","สงวนลิขสิทธิ์","to copyright",""
"2","ฉบับ","edition",""
