Rank,Word,Frequency,POS
"4","แบบฟอร์ม","form (document)",""
"4","ลายเซ็น","signature",""
"3","กองทุน","fund (noun)",""
"3","ทรัพย์สิน","property",""
"2","ประสบการณ์","experience",""
"4","มือใหม่","beginnner",""
"3","มือสอง","secondhand",""
"3","เครื่องหมายการค้า","trademark",""
"3","เงินเดือน","salary",""
"5","โบนัส","bonus",""
"1","ธุรกิจ","business",""
"3","ยี่ห้อ","brand",""
"2","อุตสาหกรรม","industry",""
"2","เศรษฐกิจ","economy",""
"4","การซื้อขาย","commerce",""
"5","สิ่งอำนวยความสะดวก","facilities",""
"1","สินค้า","goods",""
"2","ผลิตภัณฑ์","product",""
"2","อุปกรณ์","equipment",""
"4","ที่ทำการ","place of business",""
"3","ที่ทำงาน","workplace",""
"3","โรงงาน","factory",""
"3","เอกชน","private (organization)",""
"3","มหาชน","public (organization)",""
