Rank,Word,Frequency,POS
"6","สีคราม","indigo",""
"8","สีแสด","red-orange",""
"7","สีเขียวอ่อน","light green",""
"7","สีกากี","khaki",""
"7","สีแดงสด","bright red",""
"7","สีแดงเข้ม","dark red",""
"9","สีเลือดหมู","maroon",""
"7","สีเหลืองอ่อน","light yellow",""
"7","สีน้ำตาลแดง","red-brown",""
"10","สีดำแดง","reddish-black",""
"10","สีสวาด","bluish-gray",""
"10","สีสนิม","rust",""
"6","สีผิว","flesh",""
"10","สีอำพัน","amber",""
"10","สีอิฐ","brick red",""
"10","สีดิน","earth",""
"10","สีขาวอมเหลือง","off-white",""
"10","สีฟาง","straw",""
