Rank,Word,Frequency,POS
"2","หนังสือพิมพ์","newspaper",""
"3","โทรทัศน์","television",""
"3","ทีวี","TV","TV"
"2","วิทยุ","radio",""
"2","ช่อง","channel",""
"3","สถานี","station",""
"3","นักข่าว","reporter",""
"6","นักหนังสือพิมพ์","journalist",""
"3","บรรณาธิการ","editor",""
"5","ช่างภาพ","photographer",""
"4","ผู้สื่อข่าว","correspondent",""
"9","ผู้อ่านข่าว","newsreader",""
"9","ผู้สัมภาษณ์","interviewer",""
"6","คอลัมนิสต์","columnist",""
"3","สัมภาษณ์","to interview",""
"2","รายงาน","to report",""
