Rank,Word,Frequency,POS
"5","บรรพบุรุษ","ancestor",""
"3","หลาน","grandchildren",""
"6","หลานสาว","granddaughter",""
"2","ตา","(maternal) grandfather",""
"4","ปู่","(paternal) grandfather",""
"4","ยาย","(maternal) grandmother",""
"4","ย่า","(paternal) grandmother",""
"6","ปู่ย่า","(paternal) grandparents",""
"7","ปู่ย่าตายาย","grandparents",""
"6","หลานชาย","grandson",""
"10","ตาทวด","(maternal) great grandfather",""
"10","ยายทวด","(maternal) great grandmother",""
"9","ปู่ทวด","(paternal) great grandfather",""
"10","ย่าทวด","(paternal) great grandmother",""
