Rank,Word,Frequency,POS
"5","เนย","butter",""
"9","เนยแข็ง","cheese",""
"4","ครีม","cream",""
"6","ไอติม","ice cream (colloquial)",""
"3","นม","milk",""
"6","นมสด","fresh milk",""
"7","นมข้น","condensed milk",""
"9","นมข้นหวาน","sweetened condensed milk",""
"7","นมผง","powdered milk",""
"7","นมเปรี้ยว","drinking yogurt",""
"3","ไข่","egg",""
"7","ไข่แดง","yolk",""
"7","ไข่ดาว","fried egg",""
"6","ไข่เจียว","omelet",""
"10","ไข่คน","scrambled egg",""
"7","ไข่ตุ๋น","steamed egg",""
"10","ไข่ยัดไส้","stuffed omelet",""
