Rank,Word,Frequency,POS
"2","กรม","department",""
"2","กระทรวง","ministry",""
"2","สภา","council",""
"2","คณะกรรมการ","commission",""
"3","สาธารณะ","public (place, etc.)",""
"3","ภาษี","tax",""
"4","สวัสดิการ","welfare",""
"4","ประชากร","population",""
"3","ประชาธิปไตย","democracy",""
"3","รัฐธรรมนูญ","constitution",""
"4","สิทธิส่วนบุคคล","civil rights",""
"4","อาณาจักร","kingdom",""
"3","นานาชาติ","international",""
"3","อิสระ","free",""
"5","อิสรภาพ","freedom",""
"4","เสรีภาพ","liberty",""
"2","โหวต","to vote (informal)",""
"6","ลงคะแนนเสียง","to vote",""
"3","เลือกตั้ง","to elect",""
