Rank,Word,Frequency,POS
"2","การตลาด","marketing",""
"4","คณิตศาสตร์","mathematics",""
"7","แพทย์ศาสตร์","medicine",""
"9","สูติศาสตร์","obstetrics",""
"10","สมุทรศาสตร์","oceanography",""
"9","ทันตกรรมจัดฟัน","orthodontics",""
"16","ศัลยกรรมออร์โทพีดิกส์","orthopedics",""
"4","ฟิสิกส์","physics",""
"7","จิตเวชศาสตร์","psychiatry",""
"4","จิตวิทยา","psychology",""
"4","การวิจัย","research",""
"2","วิทยาศาสตร์","science",""
"10","การสังคมสงเคราะห์","social work",""
"5","สังคมศาสตร์","social science",""
"6","สังคมวิทยา","sociology",""
"5","ศัลยกรรม","surgery",""
"5","การแปล","translation",""
"7","สัตวศาสตร์","zoology",""
