Rank,Word,Frequency,POS
"9","ช่างเสริมสวย","hairdresser",""
"6","ภารโรง","janitor",""
"5","ช่างยนต์","mechanic",""
"14","พนักงานรับรองเอกสาร","notary",""
"9","ช่างประปา","plumber",""
"5","เจ้าหน้าที่ตำรวจ","police officer (formal)",""
"2","ตำรวจ","police officer",""
"9","บุรุษไปรษณีย์","postman",""
"5","ช่างซ่อม","repairman",""
"5","แม่ค้า","shopkeeper (female)",""
"5","พ่อค้า","shopkeeper (male)",""
"5","แท็กซี่","taxi driver (informal)",""
"3","ช่าง","technician",""
"6","พนักงานเสิร์ฟ","waiter",""
