Rank,Word,Frequency,POS
"5","ตะกั่ว","lead",""
"6","หินอ่อน","marble",""
"4","โลหะ","metal",""
"9","นิเกิล","nickel",""
"3","น้ำมัน","oil",""
"3","กระดาษ","paper",""
"6","ปิโตรเลียม","petroleum",""
"9","ปูนปลาสเตอร์","plaster",""
"4","พลาสติก","plastic",""
"3","ยาง","rubber",""
"4","ทราย","sand",""
"2","ไหม","silk",""
"1","เงิน","silver",""
"6","สแตนเลส","stainless steel (colloquial)",""
"10","เหล็กกล้าไร้สนิม","stainless steel",""
"6","เหล็กกล้า","steel",""
"3","หิน","stone",""
"5","ฟาง","straw",""
"2","ไม้","wood",""
