Rank,Word,Frequency,POS
"3","ครึ่ง","half",""
"5","ครึ่งหนึ่ง","one half",""
"1","หนึ่ง","one",""
"2","สอง","two",""
"2","สาม","three",""
"3","สี่","four",""
"3","ห้า","five",""
"3","หก","six",""
"4","เจ็ด","seven",""
"4","แปด","eight",""
"4","เก้า","nine",""
"3","สิบ","ten",""
"6","สิบเอ็ด","eleven",""
"6","สิบสอง","twelve",""
"7","สิบสาม","thirteen",""
"7","สิบสี่","fourteen",""
"6","สิบห้า","fifteen",""
"7","สิบหก","sixteen",""
"8","สิบเจ็ด","seventeen",""
"7","สิบแปด","eighteen",""
"7","สิบเก้า","nineteen",""
