Rank,Word,Frequency,POS
"5","ท่าอากาศยาน","airport (formal)",""
"4","สนามบิน","airport",""
"6","สถานีขนส่ง","bus terminal",""
"5","โบสถ์","church",""
"10","หน่วยดับเพลิง","fire department",""
"3","โรงพยาบาล","hospital",""
"1","บ้าน","house",""
"5","หอสมุด","library (building)",""
"3","ห้องสมุด","library (room)",""
"5","มัสยิด","mosque",""
"4","พิพิธภัณฑ์","museum",""
"2","สำนักงาน","office building",""
"2","โรงเรียน","school building",""
"6","ศาลเจ้า","shrine",""
"2","วัด","temple",""
"5","สถานีรถไฟ","train station",""
