Rank,Word,Frequency,POS
"13","คันน้ำมัน","gas pedal",""
"5","เบรค","brake",""
"3","กระจก","window",""
"4","เบาะ","seat",""
"7","เบาะหลัง","backseat",""
"3","ล้อ","wheel",""
"3","ยาง","tire",""
"2","ถนน","road",""
"6","เกียร์ว่าง","neutral (gear)",""
"11","ไหล่ถนน","shoulder (of the road)",""
"6","ใบขับขี่","driver's license",""
"6","ใบอนุญาตขับขี่","driver's license (formal)",""
"9","ทางม้าลาย","pedestrian crossing",""
"9","ไฟถนน","street light",""
"11","ป้ายชื่อถนน","street sign",""
"4","จราจร","traffic",""
"10","ทางจราจร","traffic lane",""
"9","เกาะกลางถนน","traffic island",""
"6","ไฟแดง","traffic light (informal)",""
"9","สัญญาณไฟจราจร","traffic light",""
"9","เครื่องหมายจราจร","traffic sign",""
