Rank,Word,Frequency,POS
"3","ถือ","to hold",""
"4","อุ้ม","to hold (in one's arms)",""
"5","หิ้ว","to hold (by a handle)",""
"4","คาบ","to hold (in the mouth)",""
"5","แบก","to carry (on the shoulder or back)",""
"5","หอบ","to carry (in one's arms)",""
"6","หาบ","to carry (on a shoulder pole)",""
"6","หาม","to carry (with another person)",""
"3","คอน","to carry (on a shoulder pole)",""
"6","ทูน","to carry (on the head)",""
"4","พก","to carry (on one's person)",""
"5","สะพาย","to carry(over the shoulder)",""
"3","ขน","to transport",""
