Rank,Word,Frequency,POS
"4","แตะ","to touch",""
"6","ขอด","to scrape",""
"5","ขูด","to scrape",""
"3","ขีด","to scratch (make a mark)",""
"6","ข่วน","to scratch (with claws etc.)",""
"5","เหลา","to sharpen",""
"4","ผ่า","to slice open",""
"3","เจาะ","to puncture",""
"5","แหก","to spread apart",""
"4","หนุน","to prop up",""
"5","งัด","to pry open",""
"5","กระชาก","to yank",""
"6","แยง","to probe",""
"5","ล้วง","to reachinto",""
"5","ห่อ","to wrap",""
"4","หวด","to whip",""
"6","กรอ","to wind",""
"4","ผูก","to tie",""
"4","รัด","to tighten",""
