Rank,Word,Frequency,POS
"2","เดิน","to walk",""
"5","คลาน","to crawl",""
"3","ก้าว","to step",""
"5","ย่อง","to tiptoe",""
"3","วิ่ง","to run",""
"3","กระโดด","to jump",""
"4","โดด","to jump (informal)",""
"4","ว่ายน้ำ","to swim",""
"3","ยื่น","to extend",""
"4","ก้าวหน้า","to move forward",""
"3","หนี","to flee",""
"4","เอน","to recline",""
"4","ล้ม","to fall over",""
"2","ตก","to fall",""
"4","ลุก","to get up",""
"1","ตาม","to follow",""
"1","นำ","to lead",""
"1","กลับ","to return",""
"2","เดินทาง","to travel",""
"3","ไล่","to chase",""
"2","ล่า","to hunt",""
"1","ต่อ","to continue",""
"4","เหยียบ","to stepon",""
"5","ถีบ","to push with the foot",""
