Rank,Word,Frequency,POS
"6","พยัญชนะ","consonant",""
"4","สระ","vowel",""
"7","พยางค์","syllable",""
"1","คำ","word",""
"5","วลี","phrase",""
"4","ประโยค","sentence",""
"6","ย่อหน้า","paragraph",""
"9","เครื่องหมายวรรคตอน","punctuation",""
"4","เรื่องเล่า","(spoken) story",""
"4","นิยาย","story",""
"4","นิทาน","fable",""
"4","เรื่องสั้น","short story",""
"4","นวนิยาย","novel",""
"3","จด","to jot down",""
"1","เขียน","to write",""
"4","ประพันธ์","to write (formal)",""
"3","นักเขียน","author (profession)",""
"4","ผู้แต่ง","author (of a work)",""
"3","ผู้เขียน","writer (of a work)",""
"6","นักประพันธ์","author (profession, formal)",""
"7","ผู้ประพันธ์","author (of a work, formal)",""
