Rank,Word,Frequency,POS
"2","ผลงาน","(body of) work",""
"2","วิเคราะห์","analyze",""
"3","โบราณ","ancient",""
"2","คณะกรรมการ","committee",""
"3","แนวคิด","concept",""
"3","วิจารณ์","criticize",""
"4","มิติ","dimension",""
"9","ฉบับร่าง","draft",""
"3","มีประสิทธิภาพ","effective",""
"4","ประเมินผล","evaluate",""
"4","การทดลอง","experiment",""
"2","ระยะเวลา","interval",""
"4","วารสาร","journal",""
"3","วัตถุ","object",""
"3","วัตถุประสงค์","objective",""
"2","วิธีการ","procedure",""
"3","กระบวนการ","process",""
"3","สัมมนา","seminar",""
"4","ทฤษฎี","theory",""
"3","ปริญญา","university degree",""
"3","คำศัพท์","vocabulary",""
"3","ร่าง","to draft",""
"3","ทดลอง","to experiment",""
"2","พิสูจน์","to prove",""
