Rank,Word,Frequency,POS
"3","ทหาร","solder",""
"4","ธง","flag",""
"3","หนู","rat",""
"4","ใบไม้","leaf",""
"2","ปลา","fish",""
"5","ผึ้ง","bee",""
"4","ฝา","lid",""
"4","พาน","offering tray",""
"3","ฟัน","teeth",""
"6","สำเภา","junk (boat)",""
"3","ม้า","horse",""
"3","ยักษ์","giant",""
"3","เรือ","boat",""
"3","ลิง","monkey",""
"4","แหวน","ring",""
"3","ศาลา","pavilion",""
"4","ฤษี","hermit",""
"3","เสือ","tiger",""
"6","หีบ","box",""
"4","จุฬา","kite",""
"4","อ่าง","basin",""
"7","นกฮูก","owl",""
