Rank,Word,Frequency,POS
"6","เต้านม","breasts",""
"7","หัวนม","nipple",""
"5","สะโพก","buttocks",""
"4","ก้น","buttocks (informal)",""
"5","ตูด","buttocks (vulgar)",""
"11","ไส้ตรง","rectum",""
"7","ทวารหนัก","anus",""
"6","อวัยวะเพศ","genitals",""
"9","อวัยวะสืบพันธุ์","genitals (formal)",""
"10","บริเวณขาหนีบ","groin",""
"10","องคชาต","penis (formal)",""
"3","จู๋","penis (cutesy)",""
"7","ควย","penis (vulgar)",""
"9","ลูกอัณฑะ","testicles",""
"3","ไข่","testicles (informal)",""
"7","ต่อมลูกหมาก","prostate",""
"5","มดลูก","uterus",""
"6","ช่องคลอด","vagina",""
"5","ครรภ์","womb",""
"9","สายสะดือ","umbilical cord",""
