Rank,Word,Frequency,POS
"4","ชื่อเรื่อง","title",""
"3","ปก","cover",""
"6","หน้าปก","front cover",""
"7","ปกหลัง","back cover",""
"3","สารบัญ","contents",""
"2","ลิขสิทธิ์","copyright",""
"11","คำอุทิศ","dedication",""
"9","คำปรารภ","prologue",""
"7","คำนิยม","foreword",""
"5","คำนำ","introduction",""
"9","อารัมภบท","preface",""
"2","บท","chapter",""
"4","ภาพประกอบ","illustration",""
"9","เชิงอรรถ","footnote",""
"11","ปัจฉิมบท","epilogue",""
"7","หนังสืออ้างอิง","bibliography",""
"6","ดรรชนี","index",""
