Rank,Word,Frequency,POS
"3","นำเข้า","to import",""
"3","ส่งออก","to export",""
"4","บริหารงาน","to administrate",""
"4","ประสบความสำเร็จ","to be successful",""
"1","โฆษณา","to advertise",""
"3","บริโภค","to consume (edible things)",""
"5","อุปโภค","to consume (inedible things)",""
"3","ขนส่ง","to transport",""
"3","ซื้อขาย","to trade",""
"3","สั่งซื้อ","to order",""
"2","รับผิดชอบ","to be responsible for",""
"5","เจ๊ง","to go under (colloquial)",""
"3","ลงชื่อ","to sign",""
"2","ลงทุน","to invest",""
