Rank,Word,Frequency,POS
"2","เหนือ","north",""
"2","ใต้","south",""
"3","ตะวันออก","east",""
"3","ตะวันตก","west",""
"3","ตะวันออกเฉียงเหนือ","northeast",""
"6","ตะวันตกเฉียงเหนือ","northwest",""
"6","ตะวันออกเฉียงใต้","southeast",""
"6","ตะวันตกเฉียงใต้","southwest",""
"5","อุดร","north (elegant)",""
"3","ทักษิณ","south (elegant)",""
"4","บูรพา","east (elegant)",""
"6","ปัจฉิม","west (elegant)",""
"3","อีสาน","northeast (elegant)",""
"5","พายัพ","northwest (elegant)",""
"7","อาคเนย์","southeast (elegant)",""
"9","หรดี","southwest (elegant)",""
