Rank,Word,Frequency,POS
"3","เสียใจ","sad",""
"3","เศร้า","sorrowful",""
"4","ผิดหวัง","disappointed",""
"3","เสียดาย","regretful",""
"3","กลัว","scared",""
"4","เกรง","afraid",""
"4","สับสน","confused",""
"3","เขิน","embarassed",""
"5","หงุดหงิด","grouchy",""
"4","ปลื้ม","delighted",""
"5","หึง","jealous",""
"4","หวง","possessive",""
"6","ละอาย","shame",""
"5","โศก","sad",""
"4","อึ้ง","speechless",""
"4","โกรธ","angry",""
"5","โมโห","furious",""
"4","รำคาญ","annoyed",""
"4","สงสาร","to feel sorry for",""
"6","สมเพช","to pity",""
"4","อิจฉา","to envy",""
