Rank,Word,Frequency,POS
"2","ครอบครัว","family",""
"4","สามี","husband",""
"4","ภรรยา","wife",""
"6","คู่สมรส","spouse",""
"3","พ่อแม่","parents",""
"5","บิดามารดา","parents (formal)",""
"2","พ่อ","father",""
"4","บิดา","father (formal)",""
"2","แม่","mother",""
"4","มารดา","mother (formal)",""
"4","ผู้ปกครอง","guardian",""
"4","ลูกชาย","son",""
"4","ลูกสาว","daughter",""
"2","ลูก","child (offspring)",""
"4","บุตร","child (offspring, formal)",""
"10","แฝดสาม","triplet",""
"7","คู่แฝด","twin",""
"6","ฝาแฝด","twins",""
"3","พี่น้อง","siblings",""
"2","พี่","older sibling",""
"5","พี่สาว","older sister",""
"4","พี่ชาย","older brother",""
"2","น้อง","younger sibling",""
"4","น้องสาว","younger sister",""
"5","น้องชาย","younger brother",""
