Rank,Word,Frequency,POS
"2","อาหาร","food",""
"4","มื้อ","meal",""
"7","อาหารเป็นพิษ","food poisoning",""
"6","ทำกับข้าว","to cook (intrans.)",""
"4","ทำอาหาร","to cook (intrans.--formal)",""
"3","ดื่ม","to drink",""
"2","กิน","to eat",""
"3","ทาน","to eat(formal)",""
"4","รับประทาน","to eat(elegant)",""
"3","อม","to suck on",""
"4","ต้ม","to boil",""
"6","ลวก","to parboil",""
"5","นึ่ง","to steam",""
"3","อบ","to bake",""
"6","เวฟ","to microwave",""
"4","อุ่น","to heat",""
"0","คน","to stir",""
"2","ตี","to beat",""
"5","ผัด","to stir fry",""
"4","ทอด","to fry (in oil)",""
"4","ย่าง","to barbecue",""
"3","ปิ้ง","to toast",""
"4","ปรุง","to prepare",""
