Rank,Word,Frequency,POS
"3","ดื่ม","to drink",""
"4","เครื่องดื่ม","drink (n.)",""
"5","น้ำดื่ม","drinking water",""
"10","น้ำโซดา","soda water",""
"6","น้ำอัดลม","soda (pop)",""
"4","เบียร์","beer",""
"10","เหล้าองุ่น","wine",""
"5","ไวน์","wine (colloquial)",""
"3","เหล้า","liquor",""
"4","สุรา","liquor (formal)",""
"7","วิสกี้","whiskey",""
"7","บรั่นดี","brandy",""
"3","กาแฟ","coffee",""
"5","น้ำชา","tea",""
"3","นม","milk",""
"10","นมพร่องมันเนย","low-fat milk",""
"12","นมขาดมันเนย","fat-free milk",""
"5","น้ำผลไม้","fruit juice",""
"7","น้ำมะนาว","lemonade",""
"6","น้ำส้ม","orange juice",""
"3","เมา","drunk",""
