Rank,Word,Frequency,POS
"3","ผัก","vegetable",""
"5","พริก","chili",""
"5","ข้าวโพด","corn",""
"6","แตงกวา","cucumber",""
"6","มะเขือเทศ","tomato",""
"5","เห็ด","mushrooms",""
"5","หัวหอม","onion",""
"5","กระเทียม","garlic",""
"6","ฟักทอง","pumpkin",""
"7","กะหล่ำปลี","cabbage",""
"6","แครอท","carrot",""
"10","กะหล่ำดอก","cauliflower",""
"6","คะน้า","kale",""
"6","มะเขือ","eggplant",""
"6","ผักกาด","lettuce",""
"9","หัวไชเท้า","radish",""
"9","ผักขม","spinach",""
"6","เผือก","taro",""
"1","มัน","tuber",""
"6","มันฝรั่ง","potato",""
