Rank,Word,Frequency,POS
"4","กษัตริย์","king",""
"7","พระเจ้าแผ่นดิน","king (formal)",""
"5","ราชินี","queen",""
"4","เจ้าชาย","prince",""
"5","เจ้าหญิง","princess",""
"4","นักการเมือง","politician",""
"4","ทูต","ambassador",""
"5","เอกอัครราชทูต","ambassador (from a monarchy--formal)",""
"14","เอกอัครรัฐทูต","ambassadaor (from a democracy--formal)",""
"3","นายกรัฐมนตรี","prime minister",""
"3","ปลัด","undersecretary (of a ministry)",""
"3","ข้าราชการ","civil servant",""
"4","ทูต","diplomat",""
"5","จักรพรรดิ","emperor",""
"5","ผู้ว่าการ","governor",""
"3","รัฐมนตรี","minister",""
"6","สมาชิกสภาผู้แทนราษฎร","member of parliament",""
