Rank,Word,Frequency,POS
"6","โบราณคดี","archeology",""
"5","ดาราศาสตร์","astronomy",""
"5","ชีววิทยา","biology",""
"11","ชีวฟิสิกส์","biophysics",""
"9","การทำแผนที่","cartography",""
"3","เคมี","chemistry",""
"4","การก่อสร้าง","construction",""
"10","อาชญาวิทยา","criminology",""
"10","ตัจวิทยา","dermatology",""
"6","นิเวศวิทยา","ecology",""
"4","วิศวกรรมศาสตร์","engineering",""
"5","ภูมิศาสตร์","geography",""
"6","ธรณีวิทยา","geology",""
"12","นรีเวชศาสตร์","gynecology",""
"9","การหนังสือพิมพ์","journalism",""
"2","กฎหมาย","law",""
"6","ภาษาศาสตร์","linguistics",""
