Rank,Word,Frequency,POS
"9","นักมานุษยวิทยา","anthropologist",""
"7","นักโบราณคดี","archeologist",""
"5","สถาปนิก","architect",""
"7","นักบินอวกาศ","astronaut",""
"9","นักชีววิทยา","biologist",""
"6","นักเคมี","chemist",""
"11","นักนิเวศวิทยา","ecologist",""
"6","นักเศรษฐศาสตร์","economist",""
"4","วิศวกร","engineer",""
"11","นักภูมิศาสตร์","geographer",""
"7","นักประวัติศาสตร์","historian",""
"4","วิทยากร","lecturer",""
"6","บรรณารักษ์","librarian",""
"10","นักภาษาศาสตร์","linguist",""
"4","ศาสตราจารย์","professor",""
"4","นักวิจัย","researcher",""
"5","นักวิทยาศาสตร์","scientist",""
"2","อาจารย์","teacher",""
"5","สัตวแพทย์","veterinarian",""
"11","หมอสัตว์","veterinarian (informal)",""
