Rank,Word,Frequency,POS
"2","ชาย","male",""
"2","หญิง","female",""
"3","ผู้ใหญ่","adult",""
"1","เด็ก","child (not adult)",""
"3","ผู้ชาย","man",""
"5","บุรุษ","man (formal)",""
"2","ผู้หญิง","woman",""
"3","สตรี","woman (formal)",""
"3","วัยรุ่น","adolescent",""
"3","เยาวชน","youth (noun)",""
"2","อายุ","age (number)",""
"2","วัย","age (stage of life)",""
"3","สกุล","lineage",""
"4","ตระกูล","family (multi-generational)",""
"6","สุภาพสตรี","lady",""
"5","สุภาพบุรุษ","gentleman",""
"7","แม่ม่าย","widow",""
"9","พ่อม่าย","widower",""
