Rank,Word,Frequency,POS
"5","แบงค์","bank (informal)",""
"3","ธนาคาร","bank",""
"9","ร้านตัดผม","barber shop",""
"4","ร้านหนังสือ","book store",""
"5","ร้านกาแฟ","cafe",""
"6","ร้านสะดวกซื้อ","convenience store",""
"4","ห้าง","department store",""
"3","โรงงาน","factory",""
"6","ปั๊มน้ำมัน","gas station",""
"5","โรงภาพยนตร์","movie theater (formal)",""
"6","โรงหนัง","movie theater",""
"6","ที่ทำการไปรษณีย์","post office (formal)",""
"3","ไปรษณีย์","post office",""
"3","ร้านอาหาร","restaurant",""
"4","ห้างสรรพสินค้า","shopping mall (formal)",""
"4","ห้าง","shopping mall",""
"7","ซุปเปอร์มาร์เก็ต","supermarket",""
