Rank,Word,Frequency,POS
"6","ทำบาป","to sin",""
"4","ทำบุญ","to make merit",""
"4","บวช","to ordain (as a monk)",""
"4","ภาวนา","to pray",""
"5","สวด","to chant",""
"5","นั่งสมาธิ","to meditate",""
"2","เชื่อ","to believe",""
"5","นมัสการ","to worship",""
"4","บูชา","to venerate",""
"5","โลภ","to covet",""
"4","นับถือ","to believe in (a religion)",""
"3","ดูดวง","to consult your stars",""
"5","เข้าพรรษา","to enter Buddhist lent",""
"5","ออกพรรษา","to exit Buddhist lent",""
"5","ตักบาตร","to give alms (to a monk)",""
"6","บิณฑบาต","to receive offerings",""
"2","ฉัน","to eat (of monks)",""
"6","ตรัสรู้","to attain enlightenment",""
