Rank,Word,Frequency,POS
"3","ธนาคาร","bank",""
"5","แบงค์","bank (informal)",""
"2","สาขา","branch",""
"2","บัญชี","account",""
"1","เงิน","money",""
"3","สินเชื่อ","credit (formal)",""
"4","เครดิต","credit",""
"9","บัตรสินเชื่อ","credit card (formal)",""
"3","บัตรเครดิต","credit card",""
"4","วงเงิน","credit limit",""
"10","ธนานัติ","money order",""
"2","ลูกค้า","customer",""
"4","เงินตรา","currency",""
"4","อัตราแลกเปลี่ยน","exchange rate",""
"4","ค่าธรรมเนียม","fee",""
"3","มูลค่า","value",""
"5","ธนบัตร","banknote",""
"5","แบงค์","banknote (informal)",""
"3","เหรียญ","coin",""
"7","ตู้เอทีเอ็ม","ATM","ATM"
"3","โอน","to transfer",""
"4","ถอน","to withdraw",""
"2","ฝาก","to deposit",""
"2","จ่าย","to pay",""
