Rank,Word,Frequency,POS
"6","ทันตแพทย์","dentist (formal)",""
"7","หมอฟัน","dentist (informal)",""
"3","ฟัน","tooth",""
"6","แปรงสีฟัน","toothbrush",""
"6","ยาสีฟัน","toothpaste",""
"10","ไหมขัดฟัน","floss",""
"7","ปวดฟัน","toothache",""
"7","ฟันผุ","cavity",""
"9","อุดฟัน","filling",""
"7","รากฟัน","root",""
"7","ยาชา","anesthetic",""
"2","ชา","numb",""
"10","ครอบฟัน","crown",""
"7","ฟันปลอม","denture(s)",""
"11","สะพานฟัน","(dental) bridge",""
"4","ฉีด","to inject",""
"7","บ้วนปาก","to rinse (the mouth)",""
"9","อุดฟัน","to get a filling",""
"9","เสียวฟัน","to get a shooting pain in the tooth",""
