Rank,Word,Frequency,POS
"3","แพทย์","doctor (formal)",""
"3","หมอ","doctor (informal)",""
"5","นายแพทย์","male doctor",""
"6","แพทย์หญิง","female doctor",""
"3","พยาบาล","nurse",""
"10","ผู้ช่วยแพทย์","doctor's assistant",""
"5","คนไข้","patient",""
"4","ผู้ป่วย","patient (formal)",""
"2","ประชาสัมพันธ์","reception",""
"10","ประวัติผู้ป่วย","medical record",""
"9","ใบสั่งยา","prescription",""
"7","ห้องผ่าตัด","operating room",""
"6","ผู้ป่วยใน","inpatient",""
"7","ผู้ป่วยนอก","outpatient",""
"2","ตรวจ","to examine",""
"4","วินิจฉัย","to diagnose",""
"9","จับชีพจร","to take the pulse",""
