Rank,Word,Frequency,POS
"5","พาหนะ","vehicle",""
"3","ยานยนต์","motor vehicle",""
"1","รถ","car",""
"2","รถยนต์","car (formal)",""
"5","รถกระบะ","truck",""
"4","รถเมล์","(city) bus",""
"6","รถทัวร์","(inter-city) bus",""
"3","รถไฟ","train",""
"4","รถไฟฟ้า","skytrain",""
"3","สถานี","station",""
"5","แท็กซี่","taxi",""
"7","ตุ๊กตุ๊ก","tuk tuk",""
"3","เรือ","boat",""
"3","เครื่องบิน","airplane",""
"4","สนามบิน","airport",""
"5","ท่าอากาศยาน","airport (formal)",""
"3","แพ","raft",""
"4","ผู้โดยสาร","passenger",""
"3","ตั๋ว","ticket",""
"3","รีบ","to hurry",""
"3","ขับ","to drive",""
"3","บิน","to fly",""
"1","ขึ้น","to get in (a vehicle)",""
"1","ลง","to get out of (a vehicle)",""
