Rank,Word,Frequency,POS
"4","หยิบ","to pick up",""
"2","วาง","to set down",""
"2","ยก","to lift",""
"4","แขวน","to hang",""
"4","ห้อย","to dangle",""
"3","ชู","to hold up",""
"3","ดึง","to pull",""
"5","ผลัก","to push (away)",""
"5","เข็น","to push (forward)",""
"5","เขย่า","to shake",""
"4","บีบ","to squeeze",""
"2","กด","to press",""
"4","โยน","to throw",""
"5","ขว้าง","to hurl",""
"4","ทอด","to toss",""
"6","เหวี่ยง","to fling",""
"5","สลัด","to shake off",""
"6","เขี่ย","to clear",""
"2","ทิ้ง","to discard",""
"2","ใส่","to wear",""
"4","สวม","to wear (polite)",""
"3","ถอด","to remove",""
