Rank,Word,Frequency,POS
"1","คิด","to think",""
"2","เข้าใจ","to understand",""
"2","จำ","to remember",""
"6","ท่องจำ","to memorize",""
"4","ระลึก","to recollect",""
"5","รำลึก","to recollect (elegant)",""
"4","คำนึง","to consider",""
"4","ตระหนัก","to realize",""
"4","สำนึก","to appreciate",""
"6","เก็ง","to speculate",""
"4","เดา","to guess",""
"4","ทาย","to guess",""
"4","พยากรณ์","to predict",""
"4","ทำนาย","to foretell",""
"5","สมมุติ","to pretend",""
"5","สมมติ","to pretend (elegant)",""
"3","คาด","to expect",""
"7","คะเน","to estimate",""
"2","ประมาณ","to approximate",""
"3","ประเมิน","to assess",""
"3","คำนวณ","to calculate",""
