Rank,Word,Frequency,POS
"4","อาวุธ","weapon",""
"9","คันธนู","bow",""
"9","ลูกธนู","arrow",""
"4","ดาบ","sword",""
"6","โล่ห์","shield",""
"6","ขวาน","axe",""
"2","พร้า","machete",""
"3","ปืน","gun",""
"7","ปืนพก","handgun",""
"7","ปืนพก","pistol",""
"8","ปืนยาว","rifle",""
"6","ลูกปืน","bullet",""
"5","กระสุน","ammunition",""
"7","ปืนลูกซอง","shotgun",""
"13","ปืนเดี่ยว","single-barreled shotgun",""
"13","ปืนแฝด","double-barreled shotgun",""
"11","ลูกปราย","buckshot",""
"5","ปืนใหญ่","cannon",""
"11","ลูกปืนใหญ่","cannon ball",""
"11","ปืนต่อสู้อากาศยาน","anti-aircraft gun",""
"6","รถถัง","tank",""
